기준일ID,시간대구분,행정동코드,총생활인구수
20190104,15,11440660,111706.4186
20190104,15,11440710,19033.5421
20190104,16,11440660,114930.0166
20190104,16,11440710,19702.9389
20190104,17,11440660,117083.6682
20190104,17,11440710,20425.8621
20190104,18,11440660,123068.5481
20190104,18,11440710,21494.494
20190104,19,11440660,127064.6153
20190104,19,11440710,22978.5481
20190104,20,11440660,123809.0195
20190104,20,11440710,23917.4096
20190104,21,11440660,115473.1066
20190104,21,11440710,23822.8552
20190104,22,11440660,100645.2192
20190104,22,11440710,23590.8782
20190104,23,11440660,76598.2039
20190104,23,11440710,24882.2569
20190105,0,11440660,68511.6848
20190105,0,11440710,24030.434
20190105,1,11440660,63407.2681
20190105,1,11440710,23655.8171
20190105,2,11440660,59996.9735
20190105,2,11440710,23469.2678
20190105,3,11440660,57167.0634
20190105,3,11440710,23320.3886
20190105,4,11440660,55227.6359
20190105,4,11440710,23338.0116
20190105,5,11440660,53426.3329
20190105,5,11440710,23023.4042
20190105,6,11440660,51196.0025
20190105,6,11440710,22702.5696
20190105,7,11440660,51298.1376
20190105,7,11440710,22599.268
20190105,8,11440660,54534.2153
20190105,8,11440710,22213.5203
20190105,9,11440660,60861.7252
20190105,9,11440710,21085.4565
20190105,10,11440660,68936.5519
20190105,10,11440710,20878.6204
20190105,11,11440660,79620.2156
20190105,11,11440710,20845.6846
20190105,12,11440660,92510.0752
20190105,12,11440710,20997.8675
20190105,13,11440660,105153.1854
20190105,13,11440710,21647.6033
20190105,14,11440660,116078.8857
20190105,14,11440710,22442.6343
20190105,15,11440660,124215.7399
20190105,15,11440710,22955.2659
20190105,16,11440660,129298.9577
20190105,16,11440710,23632.5123
20190105,17,11440660,135267.0178
20190105,17,11440710,24169.7685
20190105,18,11440660,139254.6857
20190105,18,11440710,25204.594
20190105,19,11440660,137748.1125
20190105,19,11440710,25857.1329
20190105,20,11440660,130635.6413
20190105,20,11440710,25707.8638
20190105,21,11440660,119039.6279
20190105,21,11440710,25070.2755
20190105,22,11440660,102479.1346
20190105,22,11440710,24019.2626
20190105,23,11440660,74609.2204
20190105,23,11440710,25648.2979
20190106,0,11440660,70545.0901
20190106,0,11440710,24841.0843
20190106,1,11440660,66251.1934
20190106,1,11440710,24406.2649
20190106,2,11440660,62566.3096
20190106,2,11440710,23968.4373
20190106,3,11440660,59519.5003
20190106,3,11440710,23806.6193
20190106,4,11440660,57125.6525
20190106,4,11440710,23779.0965
20190106,5,11440660,54949.4355
20190106,5,11440710,23517.565
20190106,6,11440660,52010.3001
20190106,6,11440710,23424.8791
20190106,7,11440660,50685.9388
20190106,7,11440710,22975.766
20190106,8,11440660,52901.9632
20190106,8,11440710,22454.9342
20190106,9,11440660,57860.8616
20190106,9,11440710,21934.2386
20190106,10,11440660,65066.4394
20190106,10,11440710,21536.6096
20190106,11,11440660,73582.8415
20190106,11,11440710,21381.3435
20190106,12,11440660,83748.4559
20190106,12,11440710,21114.5783
20190106,13,11440660,94535.232
20190106,13,11440710,22098.2045
20190106,14,11440660,103563.6925
20190106,14,11440710,22102.7629
20190106,15,11440660,109107.3356
20190106,15,11440710,22199.4062
20190106,16,11440660,111499.9277
20190106,16,11440710,22481.4236
20190106,17,11440660,113298.665
20190106,17,11440710,22596.3384
20190106,18,11440660,111873.3868
20190106,18,11440710,23340.9097
20190106,19,11440660,106607.6772
20190106,19,11440710,23518.6181
20190106,20,11440660,97967.6456
20190106,20,11440710,23478.4382
20190106,21,11440660,85666.6535
20190106,21,11440710,22589.1063
20190106,22,11440660,72198.7487
20190106,22,11440710,22418.1645
20190106,23,11440660,53050.4544
20190106,23,11440710,23856.9291
20190107,0,11440660,49623.2929
20190107,0,11440710,23568.0184
20190107,1,11440660,47055.7965
20190107,1,11440710,23157.1019
20190107,2,11440660,45909.2809
20190107,2,11440710,23429.3591
20190107,3,11440660,45055.1582
20190107,3,11440710,23305.2878
20190107,4,11440660,44498.0557
20190107,4,11440710,23255.0723
20190107,5,11440660,44610.9951
20190107,5,11440710,23056.7862
20190107,6,11440660,45424.7968
20190107,6,11440710,22557.0499
20190107,7,11440660,49991.2572
20190107,7,11440710,21489.6368
20190107,8,11440660,60836.0179
20190107,8,11440710,19848.4398
20190107,9,11440660,72375.5445
20190107,9,11440710,19625.6809
20190107,10,11440660,79011.0653
20190107,10,11440710,19150.0293
20190107,11,11440660,85646.3544
20190107,11,11440710,18730.5935
20190107,12,11440660,91845.2618
20190107,12,11440710,18940.4555
20190107,13,11440660,97173.5077
20190107,13,11440710,19028.1811
20190107,14,11440660,101730.1765
20190107,14,11440710,18941.2752
20190107,15,11440660,105311.3827
20190107,15,11440710,18906.2417
20190107,16,11440660,108309.8628
20190107,16,11440710,18973.8333
20190107,17,11440660,109575.6322
20190107,17,11440710,19345.2693
20190107,18,11440660,110437.2818
20190107,18,11440710,20720.3462
20190107,19,11440660,107363.6179
20190107,19,11440710,21733.2849
20190107,20,11440660,100237.7424
20190107,20,11440710,22081.5968
20190107,21,11440660,89749.4973
20190107,21,11440710,21482.882
20190107,22,11440660,75285.4315
20190107,22,11440710,21365.9221
20190107,23,11440660,54966.5954
20190107,23,11440710,23787.6876
20190108,0,11440660,50752.1595
20190108,0,11440710,23863.75
20190108,1,11440660,48754.4103
20190108,1,11440710,23749.6355
20190108,2,11440660,47562.9199
20190108,2,11440710,23677.9026
20190108,3,11440660,46536.3931
20190108,3,11440710,23872.1741
20190108,4,11440660,45793.4471
20190108,4,11440710,23787.032
20190108,5,11440660,46443.9515
20190108,5,11440710,23569.7824
20190108,6,11440660,47513.85
20190108,6,11440710,22868.4507
20190108,7,11440660,52139.7735
20190108,7,11440710,22044.183
20190108,8,11440660,62829.032
20190108,8,11440710,20292.7118
20190108,9,11440660,73058.0151
20190108,9,11440710,19623.356
20190108,10,11440660,80420.4805
20190108,10,11440710,19325.9693
20190108,11,11440660,87894.2146
20190108,11,11440710,18961.6191
20190108,12,11440660,94979.4989
20190108,12,11440710,19032.6461
20190108,13,11440660,99839.2232
20190108,13,11440710,19341.1941
20190108,14,11440660,105065.0935
20190108,14,11440710,19367.3329
20190108,15,11440660,109001.4741
20190108,15,11440710,19214.7188
20190108,16,11440660,110673.9599
20190108,16,11440710,19505.7439
20190108,17,11440660,111750.7154
20190108,17,11440710,20224.0823
20190108,18,11440660,113795.1516
20190108,18,11440710,21087.4177
20190108,19,11440660,110154.5214
20190108,19,11440710,21549.1284
20190108,20,11440660,102940.6614
20190108,20,11440710,22055.2095
20190108,21,11440660,92832.9555
20190108,21,11440710,21897.4629
20190108,22,11440660,77312.4352
20190108,22,11440710,21974.4672
20190108,23,11440660,56144.9189
20190108,23,11440710,24027.0313
20190109,0,11440660,50720.4059
20190109,0,11440710,24516.3549
20190109,1,11440660,48277.8184
20190109,1,11440710,24495.3294
20190109,2,11440660,46928.5111
20190109,2,11440710,24467.2471
20190109,3,11440660,45893.51
20190109,3,11440710,24493.2216
20190109,4,11440660,45102.5351
20190109,4,11440710,24478.3579
20190109,5,11440660,45162.2522
20190109,5,11440710,24230.0342
20190109,6,11440660,46393.6206
20190109,6,11440710,23667.8065
20190109,7,11440660,50979.7491
20190109,7,11440710,22756.8674
20190109,8,11440660,60975.2498
20190109,8,11440710,20848.6361
20190109,9,11440660,72661.5956
20190109,9,11440710,20282.6676
20190109,10,11440660,80407.5524
20190109,10,11440710,19519.7337
20190109,11,11440660,87358.7261
20190109,11,11440710,19637.6803
20190109,12,11440660,94684.9581
20190109,12,11440710,20095.1421
20190109,13,11440660,100026.9781
20190109,13,11440710,20061.1587
20190109,14,11440660,104377.6306
20190109,14,11440710,20128.8551
20190109,15,11440660,107425.8821
20190109,15,11440710,20041.1066
20190109,16,11440660,109814.0217
20190109,16,11440710,20378.8595
20190109,17,11440660,111092.6163
20190109,17,11440710,20848.2629
20190109,18,11440660,113410.4294
20190109,18,11440710,22089.3931
20190109,19,11440660,111767.196
20190109,19,11440710,22905.3121
20190109,20,11440660,104893.0761
20190109,20,11440710,23695.4724
20190109,21,11440660,94332.1782
20190109,21,11440710,23544.1445
20190109,22,11440660,79024.1879
20190109,22,11440710,22856.6709
20190109,23,11440660,57094.1488
20190109,23,11440710,24928.3927
20190110,0,11440660,52720.6282
20190110,0,11440710,24497.4856
20190110,1,11440660,52824.2756
20190110,1,11440710,24580.146
20190110,2,11440660,51257.1276
20190110,2,11440710,24610.5656
20190110,3,11440660,49680.2704
20190110,3,11440710,24572.6107
20190110,4,11440660,49061.413
20190110,4,11440710,24351.5902
20190110,5,11440660,49144.4571
20190110,5,11440710,24243.688
20190110,6,11440660,49987.0249
20190110,6,11440710,23747.6782
20190110,7,11440660,53462.5316
20190110,7,11440710,22456.583
20190110,8,11440660,63976.9759
20190110,8,11440710,20470.8475
20190110,9,11440660,74785.3789
20190110,9,11440710,20083.9484
20190110,10,11440660,82040.9267
20190110,10,11440710,19688.8418
20190110,11,11440660,88953.993
20190110,11,11440710,19263.4069
20190110,12,11440660,96630.0582
20190110,12,11440710,19819.6677
20190110,13,11440660,102208.4202
20190110,13,11440710,19840.9582
20190110,14,11440660,106197.8989
20190110,14,11440710,19835.9329
20190110,15,11440660,109918.9265
20190110,15,11440710,19707.1818
20190110,16,11440660,112580.6804
20190110,16,11440710,20296.8162
20190110,17,11440660,115297.7814
20190110,17,11440710,20933.9292
20190110,18,11440660,119127.7161
20190110,18,11440710,21513.8486
20190110,19,11440660,117273.1701
20190110,19,11440710,22702.6441
20190110,20,11440660,110916.3843
20190110,20,11440710,23442.4189
20190110,21,11440660,100472.1781
20190110,21,11440710,23084.458
20190110,22,11440660,84915.7797
20190110,22,11440710,22792.4178
20190110,23,11440660,61461.6984
20190110,23,11440710,25412.5958
20190111,0,11440660,55775.426
20190111,0,11440710,25010.0622
20190111,1,11440660,53654.0677
20190111,1,11440710,24718.0866
20190111,2,11440660,52055.7405
20190111,2,11440710,24599.002
20190111,3,11440660,50561.3384
20190111,3,11440710,24565.1244
20190111,4,11440660,49311.0656
20190111,4,11440710,24590.7931
20190111,5,11440660,49101.8989
20190111,5,11440710,24397.9116
20190111,6,11440660,49841.246
20190111,6,11440710,23801.9255
20190111,7,11440660,53598.4487
20190111,7,11440710,22686.8317
20190111,8,11440660,63744.8337
20190111,8,11440710,21033.5747
20190111,9,11440660,74394.7991
20190111,9,11440710,20040.6244
20190111,10,11440660,81801.0162
20190111,10,11440710,19673.414
20190111,11,11440660,89519.4965
20190111,11,11440710,19625.6977
20190111,12,11440660,96614.3222
20190111,12,11440710,19920.6266
20190111,13,11440660,102966.0779
20190111,13,11440710,20322.5325
20190111,14,11440660,106700.9175
20190111,14,11440710,20243.9936
20190111,15,11440660,110378.8659
20190111,15,11440710,20044.9429
20190111,16,11440660,114382.4164
20190111,16,11440710,20229.0062
20190111,17,11440660,117018.7086
20190111,17,11440710,21167.0615
20190111,18,11440660,123182.99
20190111,18,11440710,22138.8249
20190111,19,11440660,127721.037
20190111,19,11440710,24502.0023
20190111,20,11440660,124276.0171
20190111,20,11440710,25776.0535
20190111,21,11440660,116098.2463
20190111,21,11440710,25199.8396
20190111,22,11440660,100889.7797
20190111,22,11440710,25049.0703
20190111,23,11440660,76910.717
20190111,23,11440710,26361.9234
20190112,0,11440660,68997.499
20190112,0,11440710,26665.2275
20190112,1,11440660,64688.0331
20190112,1,11440710,26422.5382
20190112,2,11440660,61193.9501
20190112,2,11440710,26051.7247
20190112,3,11440660,58165.0238
20190112,3,11440710,25909.5345
20190112,4,11440660,55836.6641
20190112,4,11440710,25739.499
20190112,5,11440660,54340.8835
20190112,5,11440710,25426.455
20190112,6,11440660,52438.8518
20190112,6,11440710,25387.8978
20190112,7,11440660,52538.943
20190112,7,11440710,24832.4484
20190112,8,11440660,55256.3917
20190112,8,11440710,24377.8297
20190112,9,11440660,61658.9266
20190112,9,11440710,22883.6347
20190112,10,11440660,70162.353
20190112,10,11440710,22540.9341
20190112,11,11440660,81122.9014
20190112,11,11440710,22437.6242
20190112,12,11440660,95114.6604
20190112,12,11440710,22833.1941
20190112,13,11440660,109039.3051
