기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20191,11440710,연남동,CS300036,조명용품,203227918,1740,203227918,0,89302914,81393228,3827268,28704508,0,0,0,0,0,0,101996685,101231233,0,32531776,170696142,0,3827268,170696142,0,0,28704508,1740,0,580,580,290,290,0,0,0,0,0,0,870,870,0,580,1160,0,290,1160,0,0,290
20191,11440660,서교동,CS300010,반찬가게,2342909622,76873,1960870967,382038655,502789744,221501833,274204208,388995603,573379579,104795783,277242872,296002141,420253658,636203881,595980455,260640031,133829456,1250908158,1009679440,2730676,206164668,356862791,1389689157,243151457,61988851,73230,3643,16028,13042,13543,16604,14013,2902,741,1292,22977,35130,9665,4073,3736,44352,31434,151,18786,19148,22705,7937,7061
20191,11440660,서교동,CS200003,예술학원,5317820967,15303,4035485195,1282335772,697018275,714327829,742290082,922759029,959089980,884711361,397624411,0,60125184,712733997,1599204631,2491788598,453968557,2306781725,3003995271,41885092,796882401,284040241,2600407556,1435399936,152161771,11991,3312,2050,2135,2232,2630,2944,2461,851,0,184,2295,4299,7265,1260,6394,8885,123,3384,2061,6049,3371,291
20191,11440660,서교동,CS300016,안경,1147117659,20275,713297133,433820526,142515784,122032559,142764978,144682180,161301632,276887566,156932960,0,22962592,207702954,340068665,508717715,67665733,467733981,668360194,24695891,451355575,270429838,184997877,144034898,60580094,13286,6989,2360,2218,2576,2880,3252,4240,2749,0,330,3169,5473,9373,1930,4287,15932,1263,11932,2868,1866,1727,562
20191,11440660,서교동,CS100010,커피-음료,11760663453,1185230,7232284804,4528378649,1238938802,1355066506,1447382909,1466524358,1724372229,2586039924,1942338725,288374524,639242172,2192307924,3300539996,3999249861,1340948976,4200485158,7061007808,281914448,5880687981,2799356313,1244168170,844598968,210767083,764487,420743,129495,144288,151575,159661,179468,239504,181239,20129,77427,232910,337280,397628,119856,431917,721897,33196,612904,279698,120803,86894,20327
20191,11440660,서교동,CS100009,호프-간이주점,16734866181,538339,9341545678,7393320503,1445432056,1777657421,1662776125,1744341879,2711338197,4188855928,3204464575,7581452271,330555781,121569179,115019961,2051341787,6534927202,9785605125,6358983761,535474559,9626368735,3152688131,1575587293,976257429,278993245,280750,257589,43531,49538,49144,51374,87163,142120,115469,265278,10388,6625,6265,60406,189377,305213,227004,20358,346995,94095,36212,28624,5930
20191,11440660,서교동,CS100006,패스트푸드점,2594754656,204269,1593470991,1001283665,279009403,314666541,314631294,302928429,382235324,553965408,447318257,162669181,137133643,487662914,535250015,928783238,343255665,1145349956,1360858726,90070330,1347386429,565215154,254868183,194902734,53765851,131787,72482,23719,26222,25905,25548,30393,39657,32825,18502,11272,40328,41523,67344,25300,94586,106417,10238,111551,39898,19406,16194,3715
20191,11440710,연남동,CS300001,슈퍼마켓,1417160701,103996,983713645,433447056,199836491,187479820,184909074,192756497,218731763,259739827,173707229,759386,49365559,212259945,323270450,575240459,256264902,586188959,799698234,4268512,258411929,344019860,339578840,270809066,168798988,72811,31185,14290,14068,14448,14503,15502,18359,12826,15,4220,14670,22486,41524,21081,45258,56612,528,22854,27540,21725,18439,10783
20191,11440710,연남동,CS300010,반찬가게,4530000000,268191,3192709192,1337290808,479862527,645875035,542157868,751760051,773053711,789197416,548093392,0,111049700,790933582,2395383640,1069269359,163363719,2260921635,2269078365,13940137,1634188244,954777502,730256493,1046434503,150403121,166310,101881,30104,34217,31139,33615,37235,55010,46871,0,7516,52199,106277,88296,13903,85032,183159,1476,129250,71111,28178,31566,6610
20191,11440660,서교동,CS300011,일반의류,40526770972,938967,24731021058,15795749914,4328116348,4443937985,4781315909,5045331950,6132318866,9050903842,6744846072,287778211,44201133,3133531603,11198317614,20211131343,5651811068,12542266790,27530545640,3050717624,22420577285,4885262976,5086047767,3915994716,714212060,570874,368093,100543,102036,111728,117035,139532,205388,162705,7060,1303,68573,248401,465292,148338,233740,704493,90527,560947,90813,102749,81430,11767
