기준_년분기_코드,상권_코드_명,총_유동인구_수,MZ세대_유동인구_수,지역 구분
20204,신당역,2462417,1080773,중심
20204,약수역,1141395,508371,중심
20204,청구역 3번,1012608,465224,중심
20204,청구역 1번,1236495,522052,중심
20204,장충초등학교,640775,285685,외곽
20204,약수역 7번,434349,171544,중심
20204,장충단 고개,792336,379253,외곽
20204,장충동주민센터,780200,352308,외곽
20204,다산성곽길,637276,296904,외곽
20204,버티고개,802974,341219,외곽
20203,백학시장,917623,363480,외곽
20203,서울중앙시장(신중앙시장),1806187,738750,외곽
20203,약수시장,483065,194212,외곽
20203,신당역,2497567,1101567,중심
20203,약수역,1251511,558420,중심
20203,청구역 3번,1027656,467853,중심
20203,청구역 1번,1233237,522936,중심
20203,장충초등학교,662147,292375,외곽
20203,약수역 7번,459333,182364,중심
20203,장충단 고개,844514,401330,외곽
20203,장충동주민센터,788821,358049,외곽
20203,다산성곽길,615159,296481,외곽
20203,버티고개,800937,338920,외곽
20202,백학시장,940136,366940,외곽
20202,서울중앙시장(신중앙시장),1896493,750036,외곽
20202,약수시장,486711,197752,외곽
20202,신당역,2584167,1123938,중심
20202,약수역,1272168,572688,중심
20202,청구역 3번,1037213,462602,중심
20202,청구역 1번,1203152,505147,중심
20202,장충초등학교,685194,305224,외곽
20202,약수역 7번,469763,186999,중심
20202,장충단 고개,823142,392595,외곽
20202,장충동주민센터,837689,383976,외곽
20202,다산성곽길,600892,290556,외곽
20202,버티고개,813648,354758,외곽
20201,백학시장,943976,359747,외곽
20201,서울중앙시장(신중앙시장),1920790,729806,외곽
20201,약수시장,468381,191463,외곽
20201,신당역,2602873,1124338,중심
20201,약수역,1282359,576897,중심
20201,청구역 3번,1050933,463938,중심
20201,청구역 1번,1238284,521484,중심
20201,장충초등학교,690095,312803,외곽
20201,약수역 7번,445584,177571,중심
20201,장충단 고개,849686,410057,외곽
20201,장충동주민센터,862672,396490,외곽
20201,다산성곽길,612183,294795,외곽
20201,버티고개,815564,352290,외곽
20194,백학시장,1049275,406793,외곽
20194,서울중앙시장(신중앙시장),2283417,872302,외곽
20194,약수시장,449276,185999,외곽
20194,신당역,2970372,1280401,중심
20194,약수역,1320100,593945,중심
20194,청구역 3번,1060961,480993,중심
20194,청구역 1번,1121229,472548,중심
20194,장충초등학교,658053,303364,외곽
20194,약수역 7번,413536,167307,중심
20194,장충단 고개,930607,450872,외곽
20194,장충동주민센터,896470,416765,외곽
20194,다산성곽길,646141,317882,외곽
20194,버티고개,703647,309749,외곽
20193,백학시장,996396,397414,외곽
20193,서울중앙시장(신중앙시장),1957252,731395,외곽
20193,약수시장,392893,164457,외곽
20193,신당역,2905184,1248493,중심
20193,약수역,1456822,652016,중심
20193,청구역 3번,1044469,464308,중심
20193,청구역 1번,1088890,455787,중심
20193,장충초등학교,604852,275141,외곽
20193,약수역 7번,368487,149674,중심
20193,장충단 고개,1135702,543165,외곽
