기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
20201,11140635,약수동,CS200007,치과의원,10,10,0,0,10,1,0
20201,11140635,약수동,CS200008,한의원,9,9,0,0,0,0,0
20201,11140635,약수동,CS200009,동물병원,4,4,0,0,0,0,0
20201,11140635,약수동,CS200010,변호사사무소,1,1,0,0,0,0,0
20201,11140635,약수동,CS200012,법무사사무소,1,1,0,0,0,0,0
20201,11140635,약수동,CS200013,기타법무서비스,1,1,0,0,0,0,0
20201,11140635,약수동,CS200015,세무사사무소,4,4,0,0,0,0,0
20201,11140635,약수동,CS200016,당구장,4,4,0,0,0,0,0
20201,11140635,약수동,CS200017,골프연습장,2,2,0,0,0,0,0
20201,11140635,약수동,CS200019,PC방,2,2,0,0,0,0,0
20201,11140635,약수동,CS200022,복권방,1,1,0,0,0,0,0
20201,11140635,약수동,CS200023,통신기기수리,3,3,0,0,0,0,0
20201,11140635,약수동,CS200024,스포츠클럽,1,1,0,0,0,0,0
20201,11140635,약수동,CS200027,모터사이클수리,1,1,0,0,0,0,0
20201,11140635,약수동,CS200028,미용실,32,35,3,1,3,1,3
20201,11140635,약수동,CS200029,네일숍,5,5,0,0,0,0,0
20201,11140635,약수동,CS200030,피부관리실,13,13,0,0,0,0,0
20201,11140635,약수동,CS200031,세탁소,11,14,0,0,0,0,3
20201,11140635,약수동,CS200032,가전제품수리,1,1,0,0,100,1,0
20201,11140635,약수동,CS200033,부동산중개업,52,52,2,1,0,0,0
20201,11140635,약수동,CS200034,여관,3,3,0,0,0,0,0
20201,11140635,약수동,CS200037,노래방,6,6,0,0,17,1,0
20201,11140635,약수동,CS200038,독서실,2,3,0,0,0,0,1
20201,11140635,약수동,CS200039,DVD방,1,1,0,0,0,0,0
20201,11140635,약수동,CS200041,사진관,9,9,0,0,0,0,0
20201,11140635,약수동,CS200042,통번역서비스,2,2,0,0,0,0,0
20201,11140635,약수동,CS200043,건축물청소,1,1,0,0,0,0,0
20201,11140635,약수동,CS200044,여행사,2,2,0,0,0,0,0
20201,11140635,약수동,CS200045,비디오/서적임대,1,1,0,0,0,0,0
20201,11140635,약수동,CS200046,의류임대,1,1,0,0,0,0,0
20201,11140635,약수동,CS200047,가정용품임대,1,1,0,0,0,0,0
20201,11140635,약수동,CS300001,슈퍼마켓,18,19,0,0,0,0,1
20201,11140635,약수동,CS300002,편의점,2,13,0,0,0,0,11
20201,11140635,약수동,CS300003,컴퓨터및주변장치판매,6,6,0,0,17,1,0
20201,11140635,약수동,CS300004,핸드폰,8,8,0,0,13,1,0
20201,11140635,약수동,CS300006,미곡판매,2,2,0,0,0,0,0
20201,11140635,약수동,CS300007,육류판매,9,9,11,1,0,0,0
20201,11140635,약수동,CS300008,수산물판매,6,6,17,1,0,0,0
20201,11140635,약수동,CS300009,청과상,5,5,0,0,0,0,0
20201,11140635,약수동,CS300010,반찬가게,10,11,9,1,0,0,1
20201,11140635,약수동,CS300011,일반의류,42,42,2,1,0,0,0
20201,11140635,약수동,CS300013,유아의류,6,6,0,0,0,0,0
20201,11140635,약수동,CS300014,신발,3,3,0,0,0,0,0
20201,11140635,약수동,CS300015,가방,3,3,0,0,33,1,0
20201,11140635,약수동,CS300016,안경,3,3,0,0,0,0,0
20201,11140635,약수동,CS300017,시계및귀금속,2,2,0,0,0,0,0
20201,11140635,약수동,CS300018,의약품,13,14,7,1,7,1,1
20201,11140635,약수동,CS300019,의료기기,5,5,0,0,0,0,0
20201,11140635,약수동,CS300020,서적,5,6,0,0,0,0,1
20201,11140635,약수동,CS300021,문구,3,4,0,0,0,0,1
20201,11140635,약수동,CS300022,화장품,18,25,0,0,0,0,7
20201,11140635,약수동,CS300024,운동/경기용품,4,4,0,0,0,0,0
20201,11140635,약수동,CS300026,완구,1,1,0,0,0,0,0
20201,11140635,약수동,CS300027,섬유제품,5,5,0,0,0,0,0
