기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20202,11200590,금호1가동,3889858,1715530,2174328,649822,387507,711407,659563,538739,942822,956995,782032,456908,482576,703935,507414,544058,542566,542908,541624,542598,582348,593755
20202,11200615,금호2?3가동,6613940,3029773,3584167,1258632,744483,1070581,1055610,907377,1577256,1825818,1349867,725868,724548,1084791,903048,934667,929511,931107,931215,929411,968309,989721
20202,11200620,금호4가동,3582109,1626842,1955268,567268,386579,635068,578839,504269,910086,893979,719624,415384,435895,645740,471486,500485,499065,499332,502999,502501,535724,542001
20203,11200590,금호1가동,3758939,1657477,2101464,623401,364710,695462,641802,518990,914574,919286,755805,444385,467424,682387,489655,526154,525167,524703,525128,523192,562455,572140
20203,11200615,금호2?3가동,6492655,2972499,3520155,1199082,720939,1056180,1031933,915807,1568713,1776913,1315093,717228,720344,1077156,885921,919847,909580,916038,912454,910255,951201,973280
20203,11200620,금호4가동,3580695,1611902,1968792,560502,387165,638974,579014,508598,906443,877615,713425,419482,441066,656250,472855,501472,497518,501474,500367,502478,537497,539889
20204,11200590,금호1가동,3912815,1726747,2186068,652818,368475,741276,679689,530218,940338,979393,790630,455332,476945,700104,510410,549228,542947,544309,544225,545769,585058,601277
20204,11200615,금호2?3가동,6656318,3025349,3630970,1148089,736377,1120929,1065873,960270,1624783,1809228,1348208,732508,738437,1117335,910603,936929,931013,930164,930811,941135,979123,1007143
20204,11200620,금호4가동,3463960,1556534,1907426,516399,371419,631495,562586,496616,885445,850784,695065,408334,428829,631461,449489,485830,482624,484811,485600,481832,515262,528003
20211,11200590,금호1가동,4092035,1804452,2287583,666119,389697,779747,718459,559503,978510,1039477,831489,470081,486780,721527,542683,570734,567265,567119,570313,569863,614383,632358
20211,11200615,금호2?3가동,6610625,3025840,3584786,1134479,732350,1103199,1072503,975245,1592849,1791866,1344035,733337,734675,1107861,898851,928204,923353,924504,927734,932713,977747,996368
20211,11200620,금호4가동,3269486,1476882,1792604,495905,349389,584368,541451,468622,829751,796826,654572,387622,407941,599638,422889,454994,453349,454922,455595,459238,494513,496876
20212,11200590,금호1가동,4222838,1855234,2367605,679440,410400,793258,753896,577592,1008252,1114399,858746,467959,488265,729792,563679,589261,587380,592456,587255,589225,631966,645295
20212,11200615,금호2?3가동,6368198,2889233,3478964,1085635,701293,1059525,1054234,956214,1511299,1778819,1281850,677490,686536,1061724,881778,892876,891810,899928,890595,887473,942565,962949
20212,11200620,금호4가동,3224065,1460050,1764015,500610,341818,580609,543682,467757,789589,793823,638510,373437,399058,595880,423357,446862,446375,452684,446754,452396,487542,491452
20213,11200590,금호1가동,4278483,1889415,2389066,693323,417724,801067,769479,594381,1002507,1117821,877439,482100,496501,736796,567825,599031,597246,600384,599022,597277,637977,647544
20213,11200615,금호2?3가동,6521440,2957400,3564041,1144819,699717,1058181,1067496,994782,1556446,1786093,1314870,715365,722120,1093720,889272,916067,923253,919767,913430,915725,961882,971316
20213,11200620,금호4가동,3050635,1380349,1670287,466299,311065,563382,521662,444983,743243,761803,613204,353509,374075,548884,399158,427866,426254,431036,429360,431090,449614,455416
20214,11200590,금호1가동,4082968,1816825,2266143,694959,389283,748915,737768,567635,944408,1083328,841518,452402,467713,694801,543205,575415,570886,566853,567570,568798,608998,624450
20214,11200615,금호2?3가동,6623040,3006996,3616044,1184552,698101,1077629,1077247,993640,1591871,1848038,1335819,703156,715944,1108093,911989,939260,925206,926439,922241,927184,979960,1002752
