기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20231,A,골목상권,3110693,오류동역 4번,145018,66001,79016,10170,27687,39915,21151,16747,29346,54631,28856,10615,10470,18284,22161,20475,20379,20086,20129,20324,21574,22049
20231,A,골목상권,3110689,오류동역 3번,1031604,482851,548753,150591,169557,178836,146325,147275,239020,293860,209185,110277,110805,168787,138689,142157,142099,140846,141353,140946,156577,167627
20231,A,골목상권,3110687,"천왕역 3번(오류2동주민센터, 서울오류남초등학교)",61069,28564,32507,11503,5391,9650,10696,9275,14554,9821,13089,8798,9393,13174,6797,8244,8448,8388,8449,8407,9496,9637
20231,A,골목상권,3110682,온수역 8번,14730,6943,7786,3293,1643,1987,2213,2077,3516,3052,3291,1978,2132,2596,1682,2120,2103,2092,2121,2077,2090,2125
20231,A,골목상권,3110681,온수역 1번,26722,12586,14136,4751,3720,4173,4183,3784,6109,6222,5893,3195,3286,4676,3450,3881,3919,3870,3954,3754,3673,3671
20231,A,골목상권,3110680,온수역 5번(온수산업단지),210656,103050,107605,27166,23322,37276,38333,31014,53544,46164,43754,26059,27290,39272,28119,30410,30750,30635,31152,30871,28609,28229
20231,A,골목상권,3110679,염창역 2번,216563,104104,112459,24902,34560,49950,38709,27308,41133,50141,45786,27925,27794,38148,26772,30352,30193,30242,30376,30525,32429,32448
20231,A,골목상권,3110677,등촌역 1번,218060,100091,117970,32850,31316,51469,36675,26778,38974,54221,45298,27559,28117,36620,26247,31032,31088,31342,31139,30986,31288,31187
20231,A,골목상권,3110676,등촌역 7번,443504,205204,238300,57038,66566,100441,71550,54275,93634,137093,96119,45459,42133,60566,62135,64026,64042,64374,63595,63887,61687,61893
20231,A,골목상권,3110667,가양역 10번,51458,23252,28206,4559,7887,10711,8172,6569,13558,8104,10566,8448,8765,10169,5405,7368,7443,7373,7412,7502,7264,7097
20231,A,골목상권,3110662,까치산역 1번,2256602,1021161,1235441,347068,341153,366058,366962,306737,528623,714190,451207,217315,210697,340917,322276,317031,313195,316157,313009,310740,338354,348117
20231,A,골목상권,3110659,화곡역 4번,4928147,2260396,2667750,829062,699265,905125,784110,605108,1105479,1587627,1052606,479101,450254,682223,676336,697951,696059,696475,691100,688087,716985,741490
20231,A,골목상권,3110657,양천향교역 5번,621522,300551,320970,86740,90737,120312,116815,92819,114098,126449,132278,95758,93043,107177,66815,90818,89985,92108,92223,90940,83876,81572
20231,A,골목상권,3110656,까치산역 3번,7012938,3305441,3707497,605814,1273343,1533725,1136200,886534,1577319,2066410,1529921,757403,731697,1051641,875865,985368,988658,984150,970849,971426,1039645,1072841
20231,A,골목상권,3110655,발산역 5번,314949,140665,174284,41244,58310,58504,55696,46244,54951,29995,63715,57085,57928,73068,33156,44789,46256,46946,47508,47610,43931,37908
20231,A,골목상권,3110654,까치산역 4번,2442823,1131113,1311708,303724,362359,459884,369284,352899,594673,762160,493710,235580,229618,366815,354937,342386,339906,342905,337141,340438,361711,378336
20231,A,골목상권,3110653,화곡역 2번,954014,431313,522699,112556,152576,170053,153169,132429,233232,244301,185329,104213,107751,175762,136658,133618,133828,134361,132790,134394,141563,143460
20231,A,골목상권,3110652,양천향교역 2번,338550,164735,173815,52001,49000,72695,51776,49785,63294,75942,70917,45095,47513,58929,40156,49215,49277,49158,49383,48317,46642,46559
20231,A,골목상권,3110649,우장산역 1번,1002357,455385,546971,319697,113113,108751,169751,123798,167248,282182,202195,112704,111809,160906,132561,144388,146639,146244,146457,143740,139814,135075
