기준_년분기_코드,상권_코드_명,총_유동인구_수,MZ세대_유동인구_수
20203,장충단 고개,844514,401330
20203,장충동주민센터,788821,358049
20203,다산성곽길,615159,296481
20203,버티고개,800937,338920
20202,백학시장,940136,366940
20202,서울중앙시장(신중앙시장),1896493,750036
20202,약수시장,486711,197752
20202,신당역,2584167,1123938
20202,약수역,1272168,572688
20202,청구역 3번,1037213,462602
20202,청구역 1번,1203152,505147
20202,장충초등학교,685194,305224
20202,약수역 7번,469763,186999
20202,장충단 고개,823142,392595
20202,장충동주민센터,837689,383976
20202,다산성곽길,600892,290556
20202,버티고개,813648,354758
20201,백학시장,943976,359747
20201,서울중앙시장(신중앙시장),1920790,729806
20201,약수시장,468381,191463
20201,신당역,2602873,1124338
20201,약수역,1282359,576897
20201,청구역 3번,1050933,463938
20201,청구역 1번,1238284,521484
20201,장충초등학교,690095,312803
20201,약수역 7번,445584,177571
20201,장충단 고개,849686,410057
20201,장충동주민센터,862672,396490
20201,다산성곽길,612183,294795
20201,버티고개,815564,352290
20194,백학시장,1049275,406793
20194,서울중앙시장(신중앙시장),2283417,872302
20194,약수시장,449276,185999
20194,신당역,2970372,1280401
20194,약수역,1320100,593945
20194,청구역 3번,1060961,480993
20194,청구역 1번,1121229,472548
20194,장충초등학교,658053,303364
20194,약수역 7번,413536,167307
20194,장충단 고개,930607,450872
20194,장충동주민센터,896470,416765
20194,다산성곽길,646141,317882
20194,버티고개,703647,309749
20193,백학시장,996396,397414
20193,서울중앙시장(신중앙시장),1957252,731395
20193,약수시장,392893,164457
20193,신당역,2905184,1248493
20193,약수역,1456822,652016
20193,청구역 3번,1044469,464308
20193,청구역 1번,1088890,455787
20193,장충초등학교,604852,275141
20193,약수역 7번,368487,149674
20193,장충단 고개,1135702,543165
20193,장충동주민센터,846142,398728
20193,다산성곽길,546592,250192
20193,버티고개,710409,310234
20192,백학시장,1101663,442250
20192,서울중앙시장(신중앙시장),2133931,799978
20192,약수시장,298079,122906
20192,신당역,3197529,1368157
20192,약수역,1470530,661622
20192,청구역 3번,1152690,518358
20192,청구역 1번,1166638,471927
20192,장충초등학교,623656,272589
20192,약수역 7번,238769,96456
20192,장충단 고개,1127217,526471
20192,장충동주민센터,854828,394364
20192,다산성곽길,455859,205135
20192,버티고개,760197,341460
20191,백학시장,1167595,466838
20191,서울중앙시장(신중앙시장),2133308,797415
20191,약수시장,311305,128800
20191,신당역,3281799,1401350
20191,약수역,1504412,668303
20191,청구역 3번,1240929,543368
20191,청구역 1번,1191776,487418
20191,장충초등학교,684287,294774
20191,약수역 7번,245184,99318
20191,장충단 고개,1116723,521428
20191,장충동주민센터,823588,370446
20191,다산성곽길,438570,198004
20191,버티고개,775487,342808
