상권_코드_명,기준_년분기_코드,당월_매출_금액
장충초등학교,20221,2697973684
장충초등학교,20222,3106558275
장충초등학교,20223,3002967089
장충초등학교,20224,3298003549
장충초등학교,20231,3203296030
장충초등학교,20232,3555161391
장충초등학교,20233,4180819556
장충초등학교,20234,4371114490
청구역 1번,20191,1390885249
청구역 1번,20192,1729876604
청구역 1번,20193,1696770556
청구역 1번,20194,1710269323
청구역 1번,20201,1575709608
청구역 1번,20202,1856189287
청구역 1번,20203,1877276431
청구역 1번,20204,1869244947
청구역 1번,20211,1711717513
청구역 1번,20212,2057153085
청구역 1번,20213,2018308149
청구역 1번,20214,1997397506
청구역 1번,20221,1932220263
청구역 1번,20222,2030218383
청구역 1번,20223,2175202866
청구역 1번,20224,2464461604
청구역 1번,20231,2260507933
청구역 1번,20232,2816529953
청구역 1번,20233,2245129269
청구역 1번,20234,2718822840
청구역 3번,20191,8584862150
청구역 3번,20192,9360846301
청구역 3번,20193,9316231867
청구역 3번,20194,9663174932
청구역 3번,20201,9317760394
청구역 3번,20202,9293629838
청구역 3번,20203,8154825639
청구역 3번,20204,8063768617
청구역 3번,20211,7015218510
청구역 3번,20212,8830530674
청구역 3번,20213,9464408742
청구역 3번,20214,9546420911
청구역 3번,20221,8593252922
청구역 3번,20222,9746587710
청구역 3번,20223,8538498755
청구역 3번,20224,10189914786
청구역 3번,20231,8505224546
청구역 3번,20232,7692496499
청구역 3번,20233,11877607188
청구역 3번,20234,11710933380
