기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20203,D,발달상권,3120186,가로수길,CS200030,피부관리실,268723818,1928,218084418,50639400,27601935,85359460,23945878,50444858,30732287,50639400,0,0,0,50133426,101094968,76767562,40727862,28052759,227373168,1375977,38155831,29695721,119761428,37900384,28536585,1549,379,196,330,347,331,345,379,0,0,0,326,845,716,41,309,1505,11,433,309,691,225,147
20203,D,발달상권,3120186,가로수길,CS300001,슈퍼마켓,130438876,15226,101039146,29399730,18716084,17458775,20429875,21975279,22459133,14563220,14836510,2102741,9585491,26106323,28017945,45927805,18698571,69490071,39839437,590202,23693497,27624939,16806651,18304193,22310024,11633,3593,2224,2154,2295,2381,2579,1846,1747,310,1105,3558,3513,4689,2051,8818,4901,111,4190,3688,1680,1624,2424
20203,D,발달상권,3120186,가로수길,CS300029,애완동물,269453079,1089,81189395,188263684,3897627,43535627,6521203,6388300,20846638,60680530,127583154,0,1802786,3996892,175593044,87613250,447107,121597977,146165119,82039,13359985,172867286,68917967,8493395,4042423,853,236,135,180,184,152,202,114,122,0,78,115,265,623,8,210,859,8,130,223,429,222,57
20203,D,발달상권,3120186,가로수길,CS200024,스포츠클럽,29086878,56,29086878,0,1783104,3231875,1783104,14041941,8246854,0,0,0,0,21508688,3789095,0,3789095,11144398,1783104,0,3566208,3789095,0,5572199,0,56,0,5,6,5,22,18,0,0,0,0,44,6,0,6,23,6,0,12,6,0,11,0
20203,D,발달상권,3120186,가로수길,CS200002,외국어학원,218016974,329,198390456,19626518,51369676,76830439,30835595,15947534,23407212,10536692,9089826,0,35782353,16694414,56546548,98586958,10406701,83566924,134450050,0,0,5511119,152050042,29834373,30621440,298,31,71,95,47,46,39,16,15,0,9,9,127,163,21,138,191,0,0,33,205,56,35
20203,D,발달상권,3120186,가로수길,CS300002,편의점,1668171868,315971,1251242286,416929582,229019159,254174887,257752046,232036891,278259303,237978095,178951487,179772559,255204884,290685547,283071232,394904047,264533599,902660396,620036512,32792662,615041137,438261527,236628497,153589660,46383428,239085,76886,43458,47950,50600,44994,52083,43158,33728,28051,53941,58411,54682,75952,44934,172834,130613,11663,135822,81076,39264,28118,7508
20203,D,발달상권,3120186,가로수길,CS300018,의약품,955894456,44805,846428213,109466243,189833699,166328375,171107436,134747319,184411384,109466243,0,0,168028844,277730234,337145765,172989613,0,434424918,501581680,7839127,111245597,122569889,227106406,201370857,265874721,40306,4499,8550,7974,8294,6425,9063,4499,0,0,7139,13451,15047,9168,0,19680,24506,407,8473,8022,8686,8232,10367
20203,D,발달상권,3120186,가로수길,CS300031,가구,110405767,547,89671971,20733796,10960512,5888134,8903404,40110125,23809796,20733796,0,0,985866,53184418,32322557,23912926,0,27751794,68616593,0,8672594,29164933,35673559,7410062,15447239,447,100,32,48,64,138,165,100,0,0,3,202,191,151,0,124,388,0,118,248,71,52,22
20203,D,발달상권,3120186,가로수길,CS100009,호프-간이주점,3037006508,61745,2008257357,1028749151,378151480,328304931,404891090,425462088,471447768,579180611,449568540,827773694,2001574,30866200,110415441,747653514,1318296085,1531953779,1352794087,54877730,1546653613,738891777,299181020,175164604,69979119,40222,21523,6700,7261,8258,8251,9752,12472,9051,14162,29,38,1261,18745,27510,27333,33488,1915,37199,12414,4225,4222,849
20203,D,발달상권,3120186,가로수길,CS300043,전자상거래업,7588844393,146543,6017423243,1571421150,393107951,3612691808,672676193,476753371,862193920,987576691,583844459,0,88423695,926719408,3110946680,3297301582,165453028,849072143,6715297062,62271427,3130138533,1508778438,693332402,2085269915,84578490,90893,55650,13717,19340,19661,16940,21235,31057,24593,0,7102,38568,36123,58454,6296,34968,111167,1263,73665,46967,13338,8175,2727
