개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명
3030000,3030000-101-2022-00002,2022-01-03,,3,폐업,2,폐업,2023-02-02,,,,,57,133-826,서울특별시 성동구 성수동2가 269-63 성수에이원 지식산업센터,"서울특별시 성동구 뚝섬로17가길 48, 성수에이원 지식산업센터 1층 102호 (성수동2가)",4785.0,해피치즈스마일 성수점,2023-02-02 9:07,U,04:00.0,기타
3030000,3030000-101-2022-00012,2022-01-13,,3,폐업,2,폐업,2023-06-16,,,,,63.62,133-825,서울특별시 성동구 성수동1가 685-337,"서울특별시 성동구 서울숲2길 11-12, 1층 (성수동1가)",4768.0,스웨이 성수,2023-06-16 13:45,U,08:00.0,기타
3030000,3030000-101-2022-00020,2022-01-18,,1,영업/정상,1,영업,,,,,,38,133-827,서울특별시 성동구 성수동2가 310-21,"서울특별시 성동구 성수일로4길 45, 1층 (성수동2가)",4781.0,성수 매운갈비찜,2023-11-10 15:16,U,02:00.0,한식
3030000,3030000-101-2022-00038,2022-02-11,,3,폐업,2,폐업,2023-12-29,,,,,153.54,133-824,서울특별시 성동구 성수동1가 668-112,"서울특별시 성동구 서울숲2길 36, 2층 (성수동1가)",4768.0,야드 바이 비씨,2023-12-29 11:05,U,01:00.0,기타
3030000,3030000-104-2022-00010,2022-02-14,,3,폐업,2,폐업,2023-10-27,,,,,181.37,133-827,서울특별시 성동구 성수동2가 321-70 태진섬유,"서울특별시 성동구 성수이로7가길 13, 1층 (성수동2가)",4781.0,잇덴굿 성수점,2023-10-27 11:28,U,09:00.0,커피숍
3030000,3030000-101-2022-00043,2022-02-16,,3,폐업,2,폐업,2023-09-14,,,,,17.55,133-832,서울특별시 성동구 성수동2가 279-42 전진빌딩,"서울특별시 성동구 동일로 135-1, 전진빌딩 지1층 14호 (성수동2가)",4799.0,순백빙수-성수점,2023-09-14 17:53,U,06:00.0,기타
3030000,3030000-101-2022-00045,2022-02-17,,3,폐업,2,폐업,2023-12-04,,,,02  495 0724,180,133-832,서울특별시 성동구 성수동2가 277-138,"서울특별시 성동구 아차산로13길 2, 지1층 (성수동2가)",4798.0,심야의 숲,2023-12-04 10:27,U,06:00.0,라이브카페
3030000,3030000-104-2022-00016,2022-02-21,,1,영업/정상,1,영업,,,,,,239.38,133-835,서울특별시 성동구 성수동2가 315-71,"서울특별시 성동구 아차산로 104, 1층 103호 (성수동2가)",4782.0,스타벅스 성수,2023-02-23 12:32,U,05:00.0,커피숍
3030000,3030000-101-2022-00049,2022-02-23,,1,영업/정상,1,영업,,,,,,89.74,133-824,서울특별시 성동구 성수동1가 668-50,"서울특별시 성동구 서울숲2길 43, 2층 (성수동1가)",4768.0,테디스마켓,2023-03-21 15:48,U,03:00.0,기타
3030000,3030000-101-2022-00058,2022-03-02,,1,영업/정상,1,영업,,,,,,63.8,133-835,서울특별시 성동구 성수동2가 315-13,"서울특별시 성동구 연무장9길 8-1, 지1층 (성수동2가)",4782.0,호감도,2023-05-02 11:10,U,04:00.0,기타
3030000,3030000-121-2022-00005,2022-03-04,,3,폐업,2,폐업,2023-02-20,,,,,32.76,133-834,서울특별시 성동구 성수동2가 300-1 성수역,"서울특별시 성동구 아차산로 100, 성수역 211-007호 (성수동2가)",4782.0,꿈을 파는 빵집,2023-02-20 17:28,U,02:00.0,제과점영업
3030000,3030000-101-2022-00063,2022-03-04,,1,영업/정상,1,영업,,,,,,24,133-924,서울특별시 성동구 성수동1가 656-947,"서울특별시 성동구 왕십리로 136, 3층 (성수동1가)",4789.0,디어민,2023-04-28 15:11,U,00:00.0,기타
3030000,3030000-101-2022-00066,2022-03-08,,3,폐업,2,폐업,2023-06-21,,,,02  15888922,86.5,133-825,서울특별시 성동구 성수동1가 685-696 갤러리아 포레,"서울특별시 성동구 서울숲2길 32-14, 1층 103호 (성수동1가, 갤러리아 포레)",4769.0,캐스터네츠 서울숲점,2023-06-21 15:48,U,03:00.0,기타
3030000,3030000-101-2022-00500,2022-03-16,,1,영업/정상,1,영업,,,,,,12,133-832,서울특별시 성동구 성수동2가 280-32,"서울특별시 성동구 광나루로6길 7, 1층 (성수동2가)",4796.0,디아이와이,2023-09-04 13:11,I,06:00.0,기타
3030000,3030000-101-2022-00074,2022-03-17,,3,폐업,2,폐업,2023-06-15,,,,215888922,98.4,133-824,서울특별시 성동구 성수동1가 668-41,"서울특별시 성동구 서울숲4길 28, 2층 (성수동1가)",4768.0,아니마토,2023-06-15 10:42,U,07:00.0,기타
3030000,3030000-101-2022-00094,2022-03-30,,1,영업/정상,1,영업,,,,,,64,133-835,서울특별시 성동구 성수동2가 315-24,"서울특별시 성동구 연무장5가길 26, 지1층 (성수동2가)",4782.0,적토마집,2023-12-05 14:55,U,07:00.0,기타
3030000,3030000-101-2022-00096,2022-04-01,,3,폐업,2,폐업,2023-10-11,,,,7051183330,169.94,133-835,서울특별시 성동구 성수동2가 315-47,"서울특별시 성동구 연무장7가길 8, 1, 2, 3층 (성수동2가)",4782.0,데어데이아(There They Are),2023-10-11 16:36,U,03:00.0,기타
3030000,3030000-101-2022-00097,2022-04-01,,1,영업/정상,1,영업,,,,,,68.86,133-835,서울특별시 성동구 성수동2가 316-32,"서울특별시 성동구 연무장길 41-17, 1층 (성수동2가)",4782.0,도도한면,2023-07-14 16:47,U,06:00.0,기타
