개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명
3030000,3030000-101-2023-00463,2023-10-27,,1,영업/정상,1,영업,,,,,,95,133-835,서울특별시 성동구 성수동2가 315-11 성일산업,"서울특별시 성동구 연무장9길 4, 성일산업 2층 (성수동2가)",4782.0,리볼리,2023-10-27 10:35,I,09:00.0,기타
3030000,3030000-101-2023-00469,2023-10-27,,1,영업/정상,1,영업,,,,,,78.12,133-825,서울특별시 성동구 성수동1가 685-501,"서울특별시 성동구 서울숲2길 11, 1층 (성수동1가)",4768.0,노틀던,2023-10-27 16:54,I,09:00.0,기타
3030000,3030000-121-2023-00025,2023-10-27,,1,영업/정상,1,영업,,,,,,40.0,133-924,서울특별시 성동구 성수동1가 656-1002,"서울특별시 성동구 뚝섬로1가길 14, 1층 (성수동1가)",4779.0,치카성수,2023-10-27 11:12,I,09:00.0,제과점영업
3030000,3030000-121-2023-00026,2023-10-27,,1,영업/정상,1,영업,,,,,,21.0,133-835,서울특별시 성동구 성수동2가 316-59 삼일금속영업부,"서울특별시 성동구 연무장길 33, 삼일금속영업부 지하1층 102호 (성수동2가)",4782.0,먼치스앤구디스,2023-10-27 11:54,I,09:00.0,제과점영업
3030000,3030000-101-2023-00471,2023-10-30,,1,영업/정상,1,영업,,,,,,60.15,133-822,서울특별시 성동구 성수동1가 13-209,"서울특별시 성동구 상원12길 34, 1층 101호 (성수동1가)",4790.0,도기야(사라),2023-10-30 17:07,I,01:00.0,기타
3030000,3030000-101-2023-00472,2023-10-31,,1,영업/정상,1,영업,,,,,,82.6,133-831,서울특별시 성동구 성수동2가 271-12,"서울특별시 성동구 뚝섬로13길 36, 7층 (성수동2가)",4785.0,매치스,2023-10-31 13:01,I,02:00.0,기타
3030000,3030000-101-2023-00474,2023-10-31,,1,영업/정상,1,영업,,,,,,62.43,133-835,서울특별시 성동구 성수동2가 316-41,"서울특별시 성동구 연무장길 39-13, 1층 (성수동2가)",4782.0,목탄,2023-10-31 14:15,I,02:00.0,일식
3030000,3030000-101-2023-00476,2023-11-01,,1,영업/정상,1,영업,,,,,02  499 2694,140.41,133-824,서울특별시 성동구 성수동1가 668-39,"서울특별시 성동구 서울숲2길 47, 2층 (성수동1가)",4768.0,UVA 성수,2023-11-01 15:45,I,03:00.0,경양식
3030000,3030000-101-2023-00477,2023-11-01,,1,영업/정상,1,영업,,,,,,277.41,133-823,서울특별시 성동구 성수동1가 656-1731 누디트 서울숲,"서울특별시 성동구 아차산로 6, 누디트 서울숲 1동 3층 R5호 (성수동1가)",4778.0,심퍼티쿠시 성수점,2023-11-01 16:31,I,03:00.0,경양식
3030000,3030000-101-2023-00482,2023-11-02,,1,영업/정상,1,영업,,,,,,72,133-823,서울특별시 성동구 성수동1가 656-1731 누디트 서울숲,"서울특별시 성동구 아차산로 6, 누디트 서울숲 1동 5층 (성수동1가)",4778.0,라바트리 서울숲,2023-11-02 14:27,I,04:00.0,기타
3030000,3030000-101-2023-00480,2023-11-02,,1,영업/정상,1,영업,,,,,,55.99,133-827,서울특별시 성동구 성수동2가 327-2,"서울특별시 성동구 성수이로12길 14, 1층 (성수동2가)",4784.0,다이버츄,2023-11-02 13:22,I,04:00.0,기타
3030000,3030000-101-2023-00483,2023-11-06,,1,영업/정상,1,영업,,,,,,18.27,133-831,서울특별시 성동구 성수동2가 271-12,"서울특별시 성동구 뚝섬로13길 36, 1층 (성수동2가)",4785.0,니커버커베이글 성수,2023-11-06 10:37,I,08:00.0,기타
