매장,매장명,판매일자,전표번호,브랜드명,카테고리,판매상품,결제수단,판매금액,환불금액,판매수량,환불수량,본사바코드,비고
M012,이마트_월계점,2024-01-20,11047,플레인782,문구 및 팬시,자,카드,4000,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-20,11029,플레인782,문구 및 팬시,모루인형만들기,현금,9900,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-20,11019,플레인782,문구 및 팬시,-,,9900,,1,,B235KA00300000F,당일취소건 추정
M012,이마트_월계점,2024-01-20,11033,플레인782,문구 및 팬시,-,,,9900,,1,B235KA00300000F,당일취소건 추정
M012,이마트_월계점,2024-01-20,11034,플레인782,문구 및 팬시,큐브,카드,9900,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-20,11056,플레인782,문구 및 팬시,스티커,카드,6900,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-20,11032,플레인782,문구 및 팬시,큐브,현금,9900,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-20,11035,플레인782,문구 및 팬시,편지지,카드,11000,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-20,11053,플레인782,문구 및 팬시,"수첩, 펜set",카드,17600,,2,,B235KA00300000F,
M012,이마트_월계점,2024-01-20,11061,플레인782,문구 및 팬시,지우개,현금,4500,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-21,11036,마니,여성의류,목폴라,카드,30000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-21,11060,마니,여성의류,조끼,카드,15000,,1,,B235KA99400000F,
