매장,매장명,판매일자,전표번호,브랜드명,카테고리,판매상품,결제수단,판매금액,환불금액,판매수량,환불수량,본사바코드,비고
M012,이마트_월계점,2024-01-26,11019,마니,여성의류,"골덴바지, 목폴라, 가디건",카드,88000,,4,,B235KA99400000F,골덴바지 2개
M012,이마트_월계점,2024-01-26,11042,마니,여성의류,목폴라,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-26,11040,마니,여성의류,"목폴라, 티셔츠",카드,30000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-26,11001,마니,여성의류,가디건,카드,34000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-26,11010,마니,여성의류,"골덴바지, 목폴라",카드,73000,,3,,B235KA99400000F,골덴바지 2개
M012,이마트_월계점,2024-01-26,11025,마니,여성의류,티셔츠,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-26,11031,마니,여성의류,-,,15000,,1,,B235KA99400000F,당일취소건 추정
M012,이마트_월계점,2024-01-26,11032,마니,여성의류,패딩바지,카드,66000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-26,11045,마니,여성의류,롱패딩(블랙),카드,54600,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-26,11009,마니,여성의류,골덴바지,현금,29000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-26,11036,마니,여성의류,가디건,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-26,11035,마니,여성의류,티셔츠,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-26,11022,마니,여성의류,"가디건, 원피스",카드,30000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-26,11023,마니,여성의류,가디건,"상품권, 카드",30000,,2,,B235KA99400000F,"20000원 상품권, 10000원 카드"
M012,이마트_월계점,2024-01-26,11026,마니,여성의류,티셔츠,카드,30000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-26,11012,마니,여성의류,목폴라,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-26,11048,마니,여성의류,목폴라,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-26,11007,마니,여성의류,"조끼, 티셔츠",카드,30000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-26,11028,마니,여성의류,가디건,카드,19000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-26,11043,마니,여성의류,-,,,15000,,1,B235KA99400000F,당일취소건 추정
M012,이마트_월계점,2024-01-26,11011,세영유니온,여성 모자,모자,카드,19000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-26,11034,세영유니온,여성 모자,장갑,현금,15000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-26,11025,세영유니온,여성 모자,H에코퍼쁘띠,카드,15000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-26,11038,세영유니온,여성 모자,모자,카드,29000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-26,11004,세영유니온,여성 모자,모자,현금,29000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-26,11005,세영유니온,여성 모자,장갑,현금,5000,,1,,B225KA02400000F,
M012,이마트_월계점,2024-01-26,11049,오브원,홈웨어,남하의,카드,19000,,1,,B225KA04100000F,
M012,이마트_월계점,2024-01-26,11039,오브원,홈웨어,남하의,카드,38000,,2,,B225KA04100000F,
M012,이마트_월계점,2024-01-26,11046,오브원,홈웨어,원피스,현금,22000,,1,,B225KA04100000F,
M012,이마트_월계점,2024-01-26,11044,오브원,홈웨어,여set,카드,35000,,1,,B225KA04100000F,
M012,이마트_월계점,2024-01-26,11016,윈드스카프,양말,니트양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-26,11030,윈드스카프,양말,니트양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-26,11015,윈드스카프,양말,양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-26,11033,윈드스카프,양말,니트양말3,카드,10000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-26,11003,윈드스카프,양말,양말1,카드,4000,,1,,B235KA78500000F,
M012,이마트_월계점,2024-01-26,11006,플레인782,문구 및 팬시,필통(소),카드,11000,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-26,11017,플레인782,문구 및 팬시,수첩,카드,9900,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-26,11018,플레인782,문구 및 팬시,수첩(마이멜로디),카드,9900,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-26,11047,플레인782,문구 및 팬시,필통(쿠로미),카드,11000,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-26,11020,플레인782,문구 및 팬시,"볼펜, 지우개",카드,9500,,2,,B235KA00300000F,
M012,이마트_월계점,2024-01-26,11008,플레인782,문구 및 팬시,큐브,현금,9900,,1,,B235KA00300000F,
M012,이마트_월계점,2024-01-26,11021,플레인782,문구 및 팬시,"핸드크림(쿠로미, 시나모롤)",카드,19800,,2,,B235KA00300000F,
M012,이마트_월계점,2024-01-27,11036,마니,여성의류,-,,34000,,2,,B235KA99400000F,당일취소건 추정
M012,이마트_월계점,2024-01-27,11038,마니,여성의류,티셔츠,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-27,11045,마니,여성의류,티셔츠,카드,30000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-27,11041,마니,여성의류,티셔츠,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-27,11028,마니,여성의류,가디건,카드,30000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-27,11018,마니,여성의류,티셔츠,카드,,15000,,1,B235KA99400000F,1/26 판매분
M012,이마트_월계점,2024-01-27,11058,마니,여성의류,티셔츠,카드,30000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-27,11055,마니,여성의류,-,,,15000,,1,B235KA99400000F,당일취소건 추정
M012,이마트_월계점,2024-01-27,11029,마니,여성의류,"넥워머, 패딩스커트(블랙)",카드,54000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-27,11002,마니,여성의류,"목폴라, 가디건",카드,34000,,2,,B235KA99400000F,
M012,이마트_월계점,2024-01-27,11005,마니,여성의류,가디건,카드,15000,,1,,B235KA99400000F,
M012,이마트_월계점,2024-01-27,11016,마니,여성의류,가디건,카드,15000,,1,,B235KA99400000F,
