구분,팝업스토어,기간,시작 날짜,종료 날짜,권역,위치,태그
F&B,카누 휴식역 팝업스토어,24.05.16 - 24.06.16,24.05.16,24.06.16,건대,"서울특별시 광진구 능동로 10 7호선 뚝섬유원지역 2, 3번 출구 방향","카누, 커피, 카페, 지하철역, 휴식, 힐링, 이벤트, 캡슐커피, 포토부스, 키링"
패션/잡화,호카 FlyLab™ 팝업스토어,24.05.16 - 24.05.19,24.05.16,24.05.19,성수,서울특별시 성동구 연무장길 101-1 오우드 성수 1호점,"호카, 히스토리, 신제품, 이벤트, 운동화, 패션, 쇼핑, 플라이랩"
캐릭터/IP,하이큐!! 쓰레기장의 결전 팝업스토어,24.05.16 - 24.05.29,24.05.16,24.05.29,여의도,서울특별시 영등포구 여의대로 108 파크원 더현대 서울 지하2층 아이코닉존,"하이큐, 애니메이션, 만화, 극장판, 영화, 캐릭터, 굿즈, 이벤트"
기타,인생네컷 팝업스토어,24.05.17 - 24.06.09,24.05.17,24.06.09,명동,서울특별시 중구 소공로 63 신세계백화점건물 본점 B1F 그라운드 마켓,"인생네컷, 사진, 포토부스, 체험, 인생향연, 시향, 향수, 이벤트, 열린책들, 세계문학전집"
문화/예술,THEATER IS THE NEW BLACK,24.05.17 - 24.05.19,24.05.17,24.05.19,성수,서울특별시 성동구 연무장17길 3 1층 성수Y173,"세종문화회관, 아티스트, 예술, 극장, 트렌드, 체험, 공연"
문화/예술,로컬 크리에이티브 2024,24.05.17 - 24.06.02,24.05.17,24.06.02,명동,서울특별시 중구 통일로 1 서울역(본옥) 문화역서울284,"문화역서울, 서울역, 전시, 로컬, 로컬브랜드, 지역, 창의성, 크리에이터, 로컬문화, 문화"
문화/예술,"종이, 봄날을 만나다",24.05.17 - 24.09.22,24.05.17,24.09.22,기타,경기도 파주시 탄현면 헤이리로 30 국립민속박물관 파주 16수장고,"국립민속박물관, 박물관, 전시, 종이, 작품, 공예, 민속문화"
뷰티,팔레트 유니버스 팝업스토어,24.05.17 - 24.06.06,24.05.17,24.06.06,성수,서울특별시 성동구 연무장7길 13 팩토리얼성수 1층,"웨이크메이크, 팔레트, 신제품, 아이팔레트, 립팔레트, 브로우팔레트, 할인, 미션, 체험, 게임, 기프트, 이벤트, 화장품, 뷰티"
F&B,GS25 편스토랑 한끼포차 팝업스토어,24.05.17 - 24.06.04,24.05.17,24.06.04,성수,서울특별시 성동구 연무장길 38-1 엘리자베스빌딩 1층 도어투성수,"편스토랑, 한끼포차, GS25, 도어투성수, 콜라보, 경품, 이벤트, 서빙, 메뉴, 동전노래방, 노래, 시음, 뉴믹스커피"
F&B,새로구미 팝업스토어 <새로운 살구 정원>,24.05.17 - 24.06.09,24.05.17,24.06.09,부산,부산광역시 부산진구 중앙대로680번가길 38 옵포드,"새로구미, 새로살구, 주류, 술, 전시, 체험, 포토존, 한복, 메시지, 굿즈"
