매체,광고 세트,소재,광고 시작일,광고 종료일,캠페인 목표,지출금액,광고 결과,결과 당 비용,도달,노출,CTR(전체),CPC(전체),CPM,빈도,게시물 참여,고객 전환,고객 획득 당 비용,번호 수집,비고,on/off
팝업스토어가자,1차,1안,2024.5.23,2024.5.27,트래픽,"₩259,414 ","1,054",₩246 ,"37,127","42,418",3.60%,₩170 ,"₩6,116 ",1.14,"8,653",129,"₩2,011 ",,,off
팝업스토어가자,1차,2안,2024.5.23,2024.5.27,트래픽,"₩23,585 ",71,₩332 ,"2,925","3,193",3.07%,₩241 ,"₩7,386 ",1.09,726,5,"₩4,717 ",,,off
팝업스토어가자,1차,3안,2024.5.23,2024.5.27,트래픽,"₩1,798 ",7,₩257 ,151,174,4.60%,₩225 ,"₩10,333 ",1.15,7,0,0,,,off
팝업스토어가자,1차,4안,2024.5.23,2024.5.27,트래픽,"₩14,832 ",46,₩322 ,"1,465","1,756",3.47%,₩243 ,"₩8,446 ",1.2,51,9,"₩1,648 ",,,off
팝업스토어가자,1차,5안,2024.5.23,2024.5.27,트래픽,₩371 ,1,₩371 ,38,39,2.56%,₩371 ,"₩9,513 ",1.03,8,0,0,,,off
팝콘,1차,1안,2024.5.23,2024.5.27,트래픽,"₩11,009 ",17,₩648 ,985,"1,015",2.36%,₩459 ,"₩10,846 ",1.03,269,1,"₩11,009 ",,,off
팝콘,1차,2안,2024.5.23,2024.5.27,트래픽,"₩132,418 ",407,₩325 ,"11,060","13,173",4.22%,₩238 ,"₩10,052 ",1.19,"2,695",72,"₩1,839 ",,,off
팝콘,1차,3안,2024.5.23,2024.5.27,트래픽,"₩1,805 ",5,₩361 ,121,133,3.76%,₩361 ,"₩13,571 ",1.1,5,2,₩903 ,,,off
팝콘,1차,4안,2024.5.23,2024.5.27,트래픽,"₩4,393 ",9,₩488 ,286,311,3.54%,₩399 ,"₩14,125 ",1.09,10,3,"₩1,464 ",,,off
팝콘,1차,5안,2024.5.23,2024.5.27,트래픽,₩375 ,1,₩375 ,47,49,2.04%,₩375 ,"₩7,653 ",1.04,16,0,0,,,off
팝업,1차,1안,2024.5.23,2024.5.27,트래픽,"₩84,526 ",226,₩374 ,"7,748","8,483",3.70%,₩269 ,"₩9,964 ",1.09,"1,983",22,"₩3,842 ",,,off
팝업,1차,2안,2024.5.23,2024.5.27,트래픽,"₩59,467 ",156,₩381 ,"5,644","5,951",3.75%,₩267 ,"₩9,993 ",1.05,"1,438",19,"₩3,130 ",,,off
팝업,1차,3안,2024.5.23,2024.5.27,트래픽,₩660 ,1,₩660 ,87,96,1.04%,₩660 ,"₩6,875 ",1.1,1,0,0,,,off
팝업,1차,4안,2024.5.23,2024.5.27,트래픽,"₩4,953 ",9,₩550 ,446,502,2.39%,₩413 ,"₩9,867 ",1.13,10,2,"₩2,477 ",,,off
팝업,1차,5안,2024.5.23,2024.5.27,트래픽,₩391 ,1,₩391 ,56,56,1.79%,₩391 ,"₩6,982 ",1,29,0,₩0 ,,,off
팝콘,2차,4안,2024.5.28,2024.6.12,트래픽,"₩4,828 ",15,₩322 ,435,489,3.68%,₩268 ,"₩9,873 ",1.12,16,2,"₩2,414 ",,,off
팝콘,2차,2안,2024.5.29,2024.6.13,트래픽,"₩245,870 ",840,₩293 ,"22,282","28,297",4.00%,₩217 ,"₩8,689 ",1.27,"5,998",116,"₩2,120 ",,,off
팝콘,2차,6안,2024.5.29,2024.6.5,트래픽,₩575 ,,,58,60,0.00%,₩0 ,"₩9,583 ",1.03,3,0,₩0 ,,,off
팝콘,2차,9안,2024.5.30,2024.6.5,트래픽,₩108 ,,,7,12,8.33%,₩108 ,"₩9,000 ",1.71,3,0,₩0 ,,,off
팝콘,2차,12안,2024.6.12,2024.6.17,트래픽,₩537 ,1,₩537 ,62,62,1.61%,₩537 ,"₩8,661 ",1,8,0,₩0 ,,,off
팝콘,2차,10안,2024.6.12,2024.6.17,트래픽,"₩27,207 ",152,₩179 ,"3,654","3,744",4.88%,₩149 ,"₩7,267 ",1.02,"1,249",5,"₩5,441 ",,,off
팝콘,2차,13안,2024.6.13,2024.6.17,트래픽,₩55 ,,,8,8,0.00%,₩0 ,"₩6,875 ",1,1,0,₩0 ,,,off
팝업스토어가자,2차,4안,2024.5.28,2024.6.7,트래픽,"₩8,176 ",19,₩430 ,812,993,2.51%,₩327 ,"₩8,234 ",1.22,22,3,"₩2,725 ",,,off
팝업스토어가자,2차,2안,2024.5.29,2024.6.3,트래픽,"₩43,405 ",163,₩266 ,"6,710","7,329",3.00%,₩197 ,"₩5,922 ",1.09,"1,790",12,"₩3,617 ",,,off
팝업스토어가자,2차,6안,2024.5.29,2024.6.5,트래픽,"₩3,234 ",7,₩462 ,397,429,2.33%,₩323 ,"₩7,538 ",1.08,60,0,₩0 ,,,off
팝업스토어가자,2차,9안,2024.5.30,2024.6.5,트래픽,"₩2,822 ",11,₩257 ,313,359,4.45%,₩176 ,"₩7,861 ",1.15,78,0,₩0 ,,,off
팝업스토어가자,2차,7안,2024.6.3,2024.6.7,트래픽,"₩1,268 ",5,₩254 ,209,225,3.11%,₩181 ,"₩5,636 ",1.08,58,0,₩0 ,,,off
팝업스토어가자,2차,8안,2024.6.3,2024.6.7,트래픽,"₩35,911 ",172,₩209 ,"6,410","6,831",3.61%,₩145 ,"₩5,257 ",1.07,"1,782",2,"₩17,956 ",,,off
팝업스토어가자,3차,10안,2024.6.8,2024.6.17,트래픽,"₩44,759 ",234,₩191 ,"7,252","7,395",4.12%,₩147 ,"₩6,053 ",1.02,"3,128",5,"₩8,952 ",,,off
팝업스토어가자,3차,12안,2024.6.12,2024.6.17,트래픽,"₩2,364 ",10,₩236 ,314,327,4.89%,₩148 ,"₩7,229 ",1.04,94,0,₩0 ,,,off
